Classification,Message
Who is this,Who is this ?
Unknown,Ok. I'll get to work
Deny,My fianc would be happy
Unknown ',Your schedule is also attractive
Who is this,who is this
More info,I would prefer to know what my pay checks would be. Makes it easier to plan
Unknown ',Seasons
Deny,"I do better with my current employer, but we have slow seasonal"
More info,High 50's would certainly be more reliable
Deny,I'm 100% commission at my current job
Deny,Ok. Still interested.
Unknown ',65/70
Deny,"Hi Crissy.....I'm. Licensed Master Social Worker and I'm not interested in a sales position. Thank you though, for reaching out to me."
Unknown ',I did have luck finding it. Just need to add my current employer
Unknown,"Ok,thanks so much."
Deny,Thanks but 35 years of successful sales I have retired and live in AZ
Deny,"I did, but I'm extremely happy with the current position I'm holding."
Deny,"I did, but I'm extremely happy with the current position I'm holding."
Unknown ',Do you have Scott's number?
Unknown,Ok.
Unknown ',What's up
Unknown,Ok
Avoid,Please keep me in mind for future
Deny,Thank you Crissy I am not interested at this time
Deny,"Thank you for showing interest Vicki, however, I am not a substance abuse counselor. Hope you find a good fit."
Unknown,No thank you.
Unknown,"Not interested unless salary is over $160,000 with a 5 year employment contract."
Meeting,I am in a meeting for the rest of the day. I may be able to talk Monday afternoon.
Who is this,Who is this?
Unknown,Ok will check it out.
Deny,"Yes, thank you for thinking of me, but I'm really not interested. Thanks!"
Deny,"I'm not a recruiter, not interested"
Avoid,Please do NOT contact me. Thanks.
More info,What company? How did you receive my info?
Unknown,Did not get the email
Who is this,Who is this?
More info,No I did not. Where did you send it? Who is this?
Unknown,Ok will do!
Unknown,Hey Crissy! No not yet but I will make sure to check it out today.
Wrong number,You have a wrong number ..
Deny,"Hi Amanda, I am not on Monday but am right now"
Avoid,Stop all contact w me.
Unknown ',"By the way, awesome last name lol"
More info,"I dont think so, who is this?"
Who is this,Who is this??
Unknown ',?
Unknown,OksOK that sounds good I am what happened is at 10 so I mean is it just gonna be rescheduled direct
Who is this,Who is this please
Unknown,Thank you
Unknown,Ok. Thank you for letting me know.
Unknown,Sure!
Meeting,"Hi Amanda, I'll be available at 2:30 pm today. Would that work for you?"
Deny,"Hello Crissy Thank you for contacting me. At the moment I am not interested, if the situation change I will contact you. Thank you for the opportunity. Have a good day."
More info,When did you send the note
Unknown,"Crissy- yes I did receive your email and I apologize for not getting back to you. Unfortunately at this time this is not something that I wish to pursue, I appreciate you thinking of me though. Hunter"
Meeting,I am stepping into a meeting. Who is this please. Thanks
Who is this,Who is this?
More info,I did not get an email. Now is not a good time to talk. Would you try email again - pclakin@msn.com
Wrong number,I would love to chat but I think you got the wrong number
Deny,"Thanks for contacting me and for the compliment! I love where I am and what I am doing. So, no need to waste your time. Thanks again!"
More info,"No, I did not receive your email."
Wrong number,Sorry wrong contact
Deny,Unfortunately not. I have done servicing rather than origination.
Deny,I'm not interested in changing Jobs. Thanks
Meeting,In a meeting. Call you later?
Who is this,Who is this
Who is this,Who is this?
Meeting,Can you call me at 1 EST?
More info,What email and where did you send it? Who is this?
Deny,Hello. Would it be possible to discuss this job opportunity today? Thank you for reaching out to me.
Unknown,I must have missed it! I can talk!
Unknown,I must have missed it! I can talk!
Deny,"I did, I think I responded to it. Appreciate the offer but not a field I'm interested in"
Who is this,Who is this?
Who is this,Hi. Who is this?
Who is this,Who is this?
Deny,I did and I'm not interested. I'm very happy with my current situation.
Who is this,Who is this ?
Unknown,This is Dwight
Who is this,Who is this?
Unknown,"I did not receive an email. I apologize, but I do not know who this is."
Unknown,Thank you!
Unknown,"Hi there - I apologize, i purchased a new phone in the last 3-4 mos and I don't have a name with this contact in my phone. Could you pls forward the email to brooke feld@yahoo.com. I have not received anything recently."
Who is this,Who is this??
Unknown,Yes Sent by my Ram Uconnect
Meeting,Call me anytime
Unknown,I'm with a customer
Unknown,What?
Confirm,No problem. Thanks for reaching out to me
Wrong number,U have he wrong number I believe
Unknown,"Ok thank you, yes it does"
Unknown,Yep that actually will work better for me as well. Thank you Amanda!
Unknown,Im so sorry about that
Wrong number,"That's the wrong one,this one is best for me"
Unknown,Thank you!
Unknown,What number is he using
How did you get my #?,Sent from my iPhone
Deny,Happy Friday!!!!
Unknown,I am under contract until November 2019. Thank you though
Unknown,I actually have time for a call now. I'm driving to our cabin.
Deny,Thank you. I am currently in private practice and pleased with my current status. Lavon
Unknown,Yo no soy Alan le pediria q por favor no moleste mas gracias
Deny,Thanks for connecting 🙂 have a fabulous Friday! 🙌🍀🎉
Deny,"Hi Anna, Thanks for reaching out! I'm currently contracting with a local digital agency here in Portland and am happy with where I'm at. Thanks, Tiffany"
Unknown,Now
Unknown,Not interested
Unknown,My family is here :)
Unknown,Got it. I'm in ny and I'm not considering relocation now
Deny,"Good morning. Thanks for contacting me. No, I did not receive your email. I don't have an insurance license."
Unknown ',I have a 2-15 & no bilingual
More info,"Oh, I see. What's the location for the position? Is it Boston?"
Wrong number,"Sorry, wrong #"
Unknown ',Can I work from home?
How did you get my #?,"Hi Anna, not sure if I've applied for this position. How did you find my info?"
More info,& what kind of insurance does HolaDoctor sell?
Wrong number,Hi wrong number!
How did you get my #?,"Also, How did you get my phone number?"
Deny,"Hi Anna, I am starting a new contract on Monday. Thanks, best of luck!"
Deny,"Hi, I'm not interested. Thanks."
Unknown,"hey, i picked up a contract that started this week, so i'm off the market for now."
Unknown,June I mean
Deny,Hey Anna. Thanks for reaching out. Is this the fantasy football company?
More info,"Hi, I would like to talk, but I have a contract for 2 more years ending in 2020 of April."
Unknown,"Hi Amanda, what agency is this position with? I don't recall seeing the information. Thank you. Lavon"
Unknown ',?
Unknown,"Unlike dogs, cats do not have a sweet tooth. Scientists believe this is due to a mutation in a key taste receptor."
Spam,Reply STOP to unsubscribe from cat facts.
Deny,"Thank you for subscribing to daily cat facts. A new cat fact on the hour, every hour!"
Deny,"Thank you, but I don't live in Florida."
Avoid,Stop
Deny,Not at this time. Thanks and have a great weekend!
Deny,No I've not received any emails. What is the name of the company?
Unknown,I live in Georgia
Unknown,Hi this is Millie your text went to my daughters number
Unknown,"Hi Amanda, I just had the call with Trent and it was a very nice conversation. They are interviewing more people so will let you/me know. Have a very nice weekend!"
Unknown,Sounds good. Thank you very much
Unknown,Ok awesome
Unknown,No problem
Unknown ',Hopkinton ma but actually moving to southern ma soon
Unknown,Hi Amanda. I sent you my resume yesterday. Did you receive my email? Thx Donna Also when is the best time to connect to set up the video interview? Thx
Deny,I'm retired
Unknown,No
Deny,I have a full time private practice. I don't believe I would be a good fit. Thank you!
Unknown,Yes sounds good! Thank you
Unknown,Hello. Sorry for the delay. I did receive your email. My resume is need of some major updating and am not currently looking for lead generation opportunities
Who is this,Who is this?
Deny,"Thanks I hadn't opened my email yet but just saw this text. Thanks for reaching out to me, however, that was my previous employer that I left in March to move to Show Low AZ so at this time I am not interested. Thanks again!"
Unknown,U
More info,What? Who are you?
Wrong number,Don't know her and I have had this number for years. Maybe you text wrong number!
Unknown,Who am I speaking with in this text?
Deny,"I currently live in Kansas, but thank you"
More info,"Hi Chad, when you get a chance would you send me the address to Chargeback? Thank you"
Avoid,Stop! Not George.
Unknown,I'm confused what you are asking? What BHC role?
Unknown,I think l can make that work
Deny,No Not interested I'm in private practice
Unknown ',"Amanda, I just got a very sad news about my grand mother. I will not be able to make the interview today. My apologies."
Spam,"Paul, denied for a loan? MO lenders offer up to $1,000 at Lend52.co/go/?v1=7baX5Qtb Funds for any need. Txt STOP to stop"
Meeting,Can we do Tuesday morning? Earlier the better
Unknown,Hi Amanda-is there any way he can do Friday morning? If not please let me know and I will try and work something out
Unknown,I did not
How did you get my #?,I never received an email from you or anyone regarding any position with Happie. How did you get my information?
Unknown,No
More info,No I didn't
Unknown ',Like it
How did you get my #?,"Hi Krystal, it's Amanda with HRIZONS. Just curious on how you came across my number? Would you mind sharing?"
Deny,RE: Voicemail to Mr. (619-564-5978) - Thank you for calling. I will be back in touch.
Deny,RE: Call to Mr. (619-623-9393) - Thank you for calling. I will be back in touch.
More info,Hi I didn't know there was an opening. I am very interested.
Deny,"Hey Vicki. Thank you for reaching out and yes, I did receive the emails. At this time, I'm not interested but thank you again. Best of luck though."
Wrong number,? Wrong person maybe.
Deny,Thank you for thinking of me! I really love my private practice right now but I appreciate you thinking of me!
Unknown ',And flattered by the offer.
Wrong number,Wrong person
Deny,I'm really happy with my job currently. I am however curious how you retained my info.
More info,Who is this and what is a brickhouse?
Unknown,Yes I will be.
Deny,Thanks for sending. After reviewing I feel I lack the graphic design skills as I have a good understanding but not an expert. Please keep me in mind for any marketing or communications leadership roles
Meeting,I am free now
Unknown,I'm sorry who is this?
Deny,"Thanks, Chrissy. Appreciate the call and for reaching out but I am not interested at this time. Good luck in your search."
Spam,@kingbabystudio: Only the Chosen Few can rock pieces like this. #KingBaby #HandCrafted #ForTheChosenFew #Skulls #Rings #SupportHandMade #HandMade #Artisan...
More info,So I am curious what the pay range is as well as the hours/days and if there is on call/pager type of work.
Meeting,"Hello Amanda, I am out of town camping. Can I call you on Monday the 13th?"
Unknown,"Hi Laura, I'm sorry I missed your message somehow. I was on a trip at the time and somehow the message got opened before I actually saw it. I read your emails, is this something you're still looking for?"
Unknown,What email address did you use? I never got it
Unknown,Sorry definitely drawing a blank.
Unknown ',Try this one +15204299788
Unknown,Thank you!
Unknown,No never
Unknown,Hi Vicki! I actually just e-mailed you back about the position. If you're free to talk tonight or tomorrow I'll be happy to chat with you and see if this would be a good fit for both of us! Thank you!
Meeting,Ok! Can we schedule a call for tomorrow?
Unknown,Yes....well thats my maiden name. Who is this?
Unknown ',allen@arcscripting.com
Confirm,Tomorrow at noon?
Unknown,Thank you!! :)
Unknown,Yes that sounds good
How did you get my #?,Interesting. My cell phone number isn't on my LinkedIn profile so I'm curious how you got the number?
Unknown ',Negative
How did you get my #?,I am currently working several positions and not looking for something else. Can I ask how you got my information?
More info,Sure my email is staymuree@yahoo.com
Unknown,Yes
Unknown,I would first of all like to know who you are and what your objective is. Thank you.
Unknown,Can you send that formal description over email as well?
Unknown,"Hey Vicki, yes I did get it. Looks like a great fit. Is it a commission only role?"
Deny,Hi Vicki! Thank you for the follow-up. I am currently looking to stay in the Digital Media industry. I can pass the opening along to peers if you don't mind.
Unknown,Yes. This sounds great.
Wrong number,Wrong number
Unknown ',Just sent it over
Deny,"Hi Krystal, thanks for reaching out but I don't think the role is a good fit for me"
Unknown,"Sorry, what is it regarding?"
Unknown,:)
Unknown,I've sent the email.
How did you get my #?,Ah weird. Where did you get that address?
Unknown,Oh wow. That was fast lol. I cannot come in tomorrow but I can come in any day next week!
Unknown,Thank you!
Unknown,That would work great! Can you send over a calendar and invite and let me know what I should have prepared for him?
Unknown,Where did you send the email?
Unknown,No thank you.
Unknown,"I'd be willing take a look at the link, yes."
More info,I can talk now
Deny,$60000 and 4 weeks is as low as I would have gone but thanks anyways
Unknown,Thanks Amanda!
More info,That's great! You can email me at any.braso@gmail.com
Deny,Pardon my confusion but sounds like you're referring to something I'm not aware of. Maybe I missed a previous communication? Would be happy to here more. And who am I speaking with?
Unknown,Oh this is Honor Harris. Am meeting with clients today.
Deny,No thank you Krystal. I'm happy at Google. Thank you!
Unknown,No thank you
Deny,I'm not looking at making a change
Unknown,"Hey Krystal. You are persistent. Honestly, I'm not looking to get back in the recruitment space. Which is what this sounds like. You can call me if you want, I just to be upfront"
Deny,Probably not worth my time and effort without a base
Unknown,"I'm sorry, who is this?"
Unknown,ok no problem
Unknown ',Give me a call
Unknown,I do maintenance at a apartment complex so what's the pay ? Because the place I'm going tomorrow is offering $19hr I need $22-$25
Deny,Probably not worth my time and effort without a base
More info,Hi Amanda! What about 9.30/10am? It will be a pleasure to talk to them
Deny,Thank you for thinking of me and reaching out but I'm happy w my current employer.
Unknown,This is him left you a message
More info,Sure send it over!
Unknown,Oh funny. I didn't even realize my LinkedIn had that email. I have to change that!
Deny,"Hi Krystal, I can give you a call towards the end of the work day today if you'd like. I'm not really entertaining an AE transition at this time though, so I certainly don't want to waste your time."
Deny,This is probably something I'm not interested in making a move for. I appreciate the reach out
How did you get my #?,May I ask how you came across my number?
Wrong number,Completely new to me. Could you have wrong person somehow?
Unknown ',Sorry I don't have a name On this number
Unknown,Brick house as in NNU??
Unknown,Sounds like your role does not have a base salary - correct?
Unknown,Yes... just been slammed. Got back from an out of state client visit yesterday
Unknown ',Mjsiegel2012@gmail is best email for me
Unknown,Hi Vicki I don't think I have received Anything from you. Did you send through LinkedIn?
Deny,"Thank you, but no. I have a very successful private practice and am set on staying in this locale. Best of luck to you."
More info,I guess my first question is where is the job located?
More info,And what email address would it have come from?
More info,"Which did you send it to, so I can check my Spam."
Unknown,"Hi there, could you remind me more about this? I can't find anything in my email about Brickhouse."
More info,"Hi Vicki, I didn't! Did you send them to my gmail and when? I just looked in there."
More info,I am sorry. I don't have this number listed. Who is this?
Deny,Hi Krystal thanks for reaching out; I'm not looking for account executive roles.
More info,Hey Vicki. I didn't see the email come through. My email is dbhall44@gmail.com
Unknown ',"That would be great, thank you"
Unknown,Coreypaulotten@gmail.com
Unknown,Hi Vicki. I don't believe I have
Unknown ',Have time next week?
Unknown,Hey Krystal. I'm out on vacation this week in Delaware.
Deny,New Jersey is a bit of a commute for me right now. Thank you for keeping me in mind
More info,"Krystal, thank you for reaching out. I never received an email from you about an account executive opportunity. Which email did you send it to?"
Unknown,I didn't receive any emails.
More info,"I didn't see an email, my brooksjames022@yahoo.com has been getting a lot of spam lately, try sending it to cbrooks022@gmail.com but I should be able to take a call around 3:30 today otherwise I'm wide open tomorrow"
Unknown,Hi Vicki. I just double checked and don't see anything in my email. My email address is t.guenther07@yahoo.com Thank you
More info,I do at 12 pst. I didn't receive an email that I can find. Can you resend the information?
More info,Email is ecopsych@gmail.com Couldn't find any previous email from you.
More info,I'm sorry what is this regarding?
Avoid,"I'm sorry, but I don't have an e-mail from you. Please delete my number, thank you."
Unknown,Hi i didnt get an email
Deny,"Hi Krystal. Thanks for reaching out. I noticed it's full commission, is that true?"
Deny,"Hi Krystal, thanks for reachcing out. I'm not currently looking to make a career change. Thanks though!"
Deny,Hi Vicki. I did and thank you for reaching out. I did a little bit of research and don't feel this is the right fit for me at this time. Thanks for thinking of me!
Unknown ',contracted role?
Unknown,Sure. Can I get your name also? Not sure who I'm texting. I'm full time in private practice so not sure how could offer clinical supervision- could this be a
Deny,Unfortunately I live in Utah now and I am not looking to return to Idaho now. Thank you for reaching out to me though.
Deny,"No thanks, I'm not interested but good luck on your search!"
Wrong number,Wrong number
Deny,Did you receive my last email? I know someone who may be interested but I am not interested myself
Unknown,No thanks
Unknown,"Hi Krystal, can you tell me more about the job? I checked out the website but it was a little vague."
Unknown,"Hi Krystal, my name is Dara. This was Acacia's work phone when she worked for EPI and I am now in her position. I have another phone number for her if you'd like but not sure if it's current."
Unknown,"I apologize can you remind me about this inquiry, was it via LinkedIn or an email to me?"
Deny,Sorry no can do. I just accepted an internal promotion within Staples and am not looking to make any changes at this time if anything changes I'll let you Know but for now I need to politely decline
Unknown,"Hi Vicki, I have not. Which email are you sending them to? My best one is alex@lowry.xyz"
Unknown,Hello Krystal! I cannot seem to find and email from you. Could you tell me where you contacted me from?
Unknown,"Hi, sorry I’m not sure what emails you are referring to."
Unknown,"Hi Krystal, I do not have an email and do not recall applying for a position for an account executive opportunity with a company called Happie."
More info,I am in a demo until 4:00 pm. I can be free after. What is tour number?
Unknown,Not interested. Thanks
Deny,Hi. I just started the lending process on a new house I'm building and cannot risk my income going down at this time. Thank you and good luck with your search.
Unknown,Ok
Deny,No thank you things are going really well at Wordstream
Deny,Your persistent. Lol. I can give you ten minutes bt im not really looking right now
More info,I apologize! What company are you with again?
Unknown,Hey Krystal I am not sure I got the email where was is sent to? I am booked all afternoon unfortunately
Unknown,Hi Vicki! What email was it sent to?
Unknown,Did you get my email? I just accepted another opportunity. Best of luck in your search though! :)
Unknown,I will call you in about 10 minutes
Who is this,Who is this?
Wrong number,Wrong number
Who is this,Who is this sorry
Meeting,You can call me
How did you get my #?,"Hi, how did you get this number?"
Unknown,I'm sorry Krystal what email?
More info,Didn't apply
How did you get my #?,Hi Krystal. Just curious...how did you get my cell phone number?
More info,"Hi Krystal, I'm sorry but what are you referring to?"
Wrong number,"I'm sorry, you have the wrong number. If you are trying to reach Katie Jo Powell, I'd be more than happy to pass along her contact information."
Unknown,Sure
Meeting,"Hi Krystal, I don't think I received your email or may have overlooked it by accident, but yes I'm available today after 1:30pm ! You can call me directly on this number"
Unknown,"This is an invalid number. Messages to this number are not delivered, even if you do not receive this notice."
Unknown,Hi Krystal. I'm afraid I'm not sure which email you're talking about. Do you have the wrong Melissa?
Unknown,Acosta?
More info,Hi. Please refresh my memory.
Unknown,I am not familiar with what you are talking about.
Unknown,Thank you
Deny,Not interested in 100% commission as most SaaS orgs that have been reaching out are 50-70 base. Thanks for reaching out!
Unknown,"No, I need both"
More info,"Sure, send details to safavi.k@gmail.com"
Unknown,Saxguy82@yahoo.com
Unknown,Ok. Where?
Wrong number,Wrong number. Is it for a social worker?
Unknown,Nah - can't do that.
Deny,"Ok, well, thank you. I believe that I have on there I am not looking for any other position. If it isn't, I will change it. Again, thanks, but I'm not interested in a change."
Unknown,Yes I did but I can’t do commission only
Unknown,I haven't used aol email in well over a decade
Deny,Understood. But I'm now retired. Thx for thinking of me.
Deny,"Hi Vicki, I just saw them as I'm not in my Gmail much. Thanks for thinking of me. It's not a good fit for me at this time, but I do know of somebody who is looking."
More info,"Hi Vicki, thanks for reaching out. No, I have not. Please send to picknyk@yahoo.com"
Deny,Aw man! Well I never saw the emails so I apologize. At this time I am good with where I am it but thanks for reaching out!
Unknown,Not interested. Thank you.
Unknown,Working at no base would not be something I would be comfortable with.
Unknown,Sorry Laura I am in Alaska on a two week backpack trip. Just have very limited service. I can reach you when i get back
More info,"Hi Vicki, Received and appreciate the consideration. I'm interested in learning more. Is there a time that would be ideal to speak further? All the best, Ty"
Unknown,"I have not, what email?"
Wrong number,You must have the wrong number. I'm not the person who applied for this position.
Unknown,I don't believe so
How did you get my #?,Who is this? How did you get my number? And what do you want?
More info,"Yes I did. What is the total compensation? Honestly I'm not interested unless it's 150,000+"
Unknown,I did not see any email
Unknown,No??
Unknown,Hi Vicki. Sorry I didn't receive any emails.
Unknown,Nope
Unknown,"I did, but have not yet been able to give it the proper attention."
Who is this,Thanks. Please remind me who this is. I don't have you in my phone yet.
Wrong number,Sorry wrong number
Unknown,"No, thank you."
Who is this,I don't recognize this number. Who is this?
Who is this,"Sorry... Who is this? I don't have your number saved, apparently."
More info,I'd like to know more about the position I've looked at the website looks like they're doing a holistic program. So send me more info
Deny,"Hey Amanda, yes I did. Thank you for considering me. The position sounds great but I'm honestly not interested in working with a startup company. Just a personal preference. I appreciate you for taking the time to reach out. Good luck on your search"
Who is this,"Sorry, who is this"
Unknown,??
More info,"Hi Vicki, you can send the position info to kristimartin2@yahoo.com Thanks"
How did you get my #?,Hi Vicki how did you get my contact information?
Unknown,Thank you. This is my wife's phone however she passed away two years ago. I'm still trying to remove all her information from the various sites.
Who is this,"Hello, I apologize, I do not have this number saved. May I ask who this is?"
Avoid,Please do not contact me.
Deny,Hey. Thanks for reaching out. I don't think the role sounds like a good fit for me at this time. Thanks.
Wrong number,Wrong number. Sorry
Deny,"I don't believe I did, but I am not currently looking for new employment opportunities right now. Thank you for considering me."
More info,I don't recall talking to you about it. Please give me more information
Who is this,Who is this?
Deny,No thanks I do not have experience with chemical dependency
Deny,Thank you Vicki! But I'm not currently looking for work. Maybe in a few years.
More info,"Hello, I was unaware of the opening. Send me your information and I can give you my email to forward the info"
Deny,No present interest in a new job but thank you
Deny,"Hi, I'm enjoying working parttime right now. Thank you for thinking of me."
Who is this,Hi! Who is this?
Meeting,Call my office line at 208-455-7077.
More info,"How do I get more information on the requirements and duties, hours etc?"
More info,What do you mean by internet data providers?
How did you get my #?,My number isn't on LinkedIn from what I can see. Did it somehow appear for you?
Deny,I'm sorry I'm not qualified for the position. I won't have my masters in counseling until next August.
More info,May I ask how you received my contact information? And is there a job posting I can reference? Thank you!
Unknown,You might be looking for my dad? I'm in technology
More info,Is there a job description I can pass to her
Unknown,I have a conference call at that time and client at 2. I would not be available until 3 my time.
Unknown,Thank you!
Deny,I live in Portland so I am not interested. But thank you fir reaching out😊
Unknown,No problem.
Unknown,"Ok,I understand"
Deny,"Oh okay, thank you for reaching out. I am not available to engage with that position at this time."
Unknown,I'm ok.
How did you get my #?,Can I ask how you got my information? 😁
More info,I would like to learn more about it. When would be a good time to talk?
Unknown,I'm sorry but I am not familiar with the treatment supervisor job with Brickhouse?
Unknown,"Oh ok sorry, wasn't recalling if it was something I'd applied for"
Deny,"Thank you for thinking of me. However, I have recently moved out of state."
Deny,"Thank you for thinking of me, but I'm happy where I'm at. Much success to you..."
More info,Can you tell me a bit more about the position?
More info,I wasn't aware of the position. What is the position?
Meeting,After 1 I am available
More info,Oh awesome. Can you send me more information? My email is jillmay5079@msn.com
Who is this,"I apologize, may I ask who this is?"
Deny,"Thank you, but I'm good right now. Good luck!"
Wrong number,Wrong number thanks
Confirm,Hello! I would love to supervise the treatment of brick houses 🏠
More info,Is this a Boise position
Unknown,"Yes, keelyeadams@gmail.com"
More info,I would like to talk more about it...
Who is this,This is Anilas husband phone And I called Anile And asked her if she ever applied for such a position. She told me she had not. So who is this
Deny,Hi! I apologize for not responding sooner- the email went into my spam folder until yesterday. I'm not currently interested in leaving my current position. But thank you for thinking of me!
Unknown,Are you asking if I'd like a job?
Deny,"Hello, I apologize for not returning your email earlier. Brickhouse sounds really wonderful. However, I really love my current position and so would not be interested. Thank you for thinking of me and my best to you in your search."
More info,Where is the job located
More info,I am interested in more information
Unknown,I apologize for not getting back to you. I'm actually looking for jobs that take me out of having to do therapy at this time. I appreciate the reach out!
Wrong number,You have a wrong number.
Unknown,What is Brickhouse?
More info,So sorry...first I am hearing about this. Who is this?
Unknown,"Sorry, dont know what you are talking about."
Who is this,Who is this
Unknown,No
Unknown,Hi! With whom am I speaking?
Unknown,Who is this? Sorry I don't recognize the number
Avoid,No. Please cross me off the list and stop asking. Thank you.
Unknown,"I'm sorry, I don't know who this is. 😊"
Deny,not at this time but thankyou
More info,Ummm not sure what this is...sorry please inform me
How did you get my #?,Did I apply for this? I've sent a couple emails from you as well and I'm just wondering how you received my information
More info,No I didn't and where are you calling again
Unknown,Thanks! I'm only searching for positions in Manhattan but I do appreciate that you've reached out.
How did you get my #?,How did you get my phone number?
Unknown,Thanks-you as well.
Unknown,I do PR
Unknown,"Will do, thanks"
Unknown,I did not
Unknown,Vicki A?
Deny,"Hi Chrissy-I got your voicemail and unfortunately, I am not interested in a commission based sales position at this time."
Unknown,No
Unknown,"Sounds good, should be about an hour if all goes well."
Wrong number,"Hi, I think you have the wrong number. Who are you trying to reach?"
Unknown,No
Unknown,Huh?
Wrong number,I think you have the wrong number
Who is this,Who is this
Unknown,I have not.
Unknown,Hey...
More info,"I did Can the job opportunity match my current pay, I make close to six figures"
Unknown,Ahhh no.
Unknown,Not the right fit
Unknown,Ok I will
More info,Hey Vicki! I don't think I received your email. Would love to learn more about the opportunity.
Wrong number,Hi I think you have the wrong number sorry
Unknown,"Hi, I'm not sure"
Unknown,Yes that would work fine! Thanks
Unknown,"Hi Vicky, yes I did see it but I'm not sure financial services is an industry I want to go into"
Deny,"I see, I am not interested in a position like this as I primarily work in B2C markets developing mass targeting campaigns. Thank you for considering me for the role."
Unknown,Ok
Deny,"I don't see anything in my inbox, however if this is a sales related position I am not interested."
Unknown,"Hi Vicki, I haven't received your emails about the opportunity."
Unknown,I did have a good talk with them Monday. Next step is to decide how much time I would need to spend in Fresno. I'm super hopeful it will work out.
How did you get my #?,Hey just saw them. But where did you find my resume and number? I don't remember posting it anywhere. Just wondering
Unknown,Our numbers are too similar!
Unknown,That's my daughter! Haley Reynolds 973-303-5619
